"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\ListHistories\logintablehistory.vue", "Vue", -2, 0, 0, 0, -2
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\ActivityLogs\product_archives\ProductArchives.vue", "Vue", -1, 0, 0, 3, 2
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\ActivityLogs\usermanagement_logs\usermanagementarchives.vue", "Vue", -2, 0, 0, 0, -2
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\ActivityLogs\usermanagement_logs\usermanagementlogs.vue", "Vue", -2, 0, 0, 0, -2
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\inventoryReports\inventoryReports.vue", "Vue", 1, 0, 0, 5, 6
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_activator\product_activator_final.vue", "Vue", -38, 0, 0, 0, -38
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\product_inventory\add_inventory.vue", "Vue", 0, 0, 2, 0, 2
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\system_histories\histories.vue", "Vue", 48, 0, 0, 0, 48
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\cashier_index_content.vue", "Vue", 92, 0, 0, -3, 89
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\customer_order_list\customerTB.vue", "Vue", 16, 0, 0, 7, 23
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\forgot_content.vue", "Vue", 5, 0, 0, 0, 5
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\lockAccount\nav.vue", "Vue", 7, 0, 0, 0, 7
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\addqty.js", "JavaScript", 0, -10, 0, 0, -10
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\request-common.js", "JavaScript", 0, 5, 0, 0, 5
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\admin.vue", "Vue", -37, 0, 0, -3, -40
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\forgot.vue", "Vue", 1, 0, 0, 0, 1
"Total", "-", 88, -5, 2, 9, 94
